timestamp,delta,theta,alpha,beta,gamma,heart_rate_bpm,breathing_rate_bpm,head_pitch,head_roll,head_movement
2025-11-10T09:29:43.477454Z,0.0002560948501570938,0.00038414227523564067,0.0006402371253927345,0.0019137570498670745,0.002344945699347457,,,,,
2025-11-10T09:29:44.477700Z,0.00026051531235204024,0.0003907729685280604,0.0006512882808801006,0.0019153139664713507,0.0023350594717684485,,,,,
2025-11-10T09:29:45.477733Z,0.0002677640777297087,0.000401646116594563,0.0006694101943242718,0.0019443365496133232,0.002361199061738133,,,,,
2025-11-10T09:29:46.477762Z,0.00028234847885182714,0.00042352271827774074,0.0007058711971295678,0.0020028043640484532,0.0024139112416924086,,,,,
2025-11-10T09:29:47.477790Z,0.0002865983601452213,0.0004298975402178319,0.0007164959003630533,0.002012612541415582,0.002417704657858312,,,,,
2025-11-10T09:29:48.477817Z,0.00026415471664688404,0.00039623207497032606,0.0006603867916172102,0.0018622660089910982,0.002239992407774482,,,,,
2025-11-10T09:29:49.477845Z,0.00020400107360591052,0.00030600161040886573,0.0005100026840147762,0.0015677067838719217,0.0019371278480985253,,,,,
2025-11-10T09:29:50.477885Z,0.00017094600542048234,0.0002564190081307235,0.00042736501355120586,0.0013597579954134377,0.00169696397748415,,,,,
2025-11-10T09:29:51.477913Z,0.00013107896967900964,0.00019661845451851445,0.0003276974241975241,0.00113032433334853,0.001441497818256421,,,,,
2025-11-10T09:29:52.477938Z,0.0001315408495444207,0.00019731127431663108,0.00032885212386105176,0.0011841373580777977,0.0015263053942000985,,,,,
2025-11-10T09:29:53.477963Z,0.00018812557251986052,0.00028218835877979076,0.0004703139312996513,0.001631702592483195,0.0020839725449175025,,,,,
2025-11-10T09:29:54.477988Z,0.0002207086331066889,0.0003310629496600333,0.0005517715827667222,0.0018572338489097247,0.0023535899855568303,,,,,
2025-11-10T09:29:55.478013Z,0.00024245529958758622,0.00036368294938137933,0.0006061382489689656,0.0020520805157335817,0.0026044539863284894,,,,,
2025-11-10T09:29:56.478037Z,0.00029209209280043626,0.0004381381392006543,0.0007302302320010905,0.0024326936137842466,0.0030744519222135735,,,,,
2025-11-10T09:29:57.478063Z,0.0002865094060192302,0.0004297641090288452,0.0007162735150480754,0.0024142174256760367,0.003060521544227814,,,,,
2025-11-10T09:29:58.478088Z,0.00022537406763807938,0.00033806110145711903,0.0005634351690951984,0.001989746173537009,0.0025525464882725922,,,,,
2025-11-10T09:29:59.478112Z,0.000251922933157841,0.0003778843997367615,0.0006298073328946025,0.0021764144411741343,0.00277687889303666,,,,,
2025-11-10T09:30:00.478136Z,0.0002562169959947031,0.0003843254939920546,0.0006405424899867577,0.0021080898495429434,0.0026555361704835405,,,,,
2025-11-10T09:30:01.478161Z,0.00024192634326008531,0.00036288951489012796,0.0006048158581502133,0.0019366296326260816,0.0024212136510734917,,,,,
2025-11-10T09:30:02.478185Z,0.00022621768649845803,0.000339326529747687,0.0005655442162461451,0.0018081004191166895,0.0022595511483910207,,,,,
2025-11-10T09:30:03.478209Z,0.0002536583908093141,0.00038048758621397113,0.0006341459770232852,0.002030578284699811,0.002538681761253618,,,,,
2025-11-10T09:30:04.478232Z,0.00022812803488482153,0.00034219205232723234,0.0005703200872120539,0.0018614382012513047,0.0023395426243245873,,,,,
2025-11-10T09:30:05.478256Z,0.00018697226566394222,0.0002804583984959133,0.0004674306641598555,0.0015315626982843563,0.001926977973395932,,,,,
2025-11-10T09:30:06.478280Z,0.00019418031499053744,0.0002912704724858061,0.00048545078747634353,0.0015844170411618529,0.0019913623838854603,,,,,
2025-11-10T09:30:07.478307Z,0.00020045367070273845,0.00030068050605410764,0.0005011341767568461,0.001687814201713067,0.00213923244477324,,,,,
2025-11-10T09:30:08.478333Z,0.00018471589491816842,0.00027707384237725256,0.000461789737295421,0.001596591550453857,0.0020373419749553003,,,,,
2025-11-10T09:30:09.478357Z,0.00019275265997286827,0.00028912898995930235,0.0004818816499321706,0.0016451358261768032,0.0020925098739588547,,,,,
2025-11-10T09:30:10.478381Z,0.00016219776230233111,0.0002432966434534967,0.0004054944057558278,0.0014559668934364884,0.0018753932950518544,,,,,
2025-11-10T09:30:11.478404Z,0.00015560441307820253,0.00023340661961730378,0.0003890110326955063,0.0013479304966261363,0.0017209964379828514,,,,,
2025-11-10T09:30:12.478428Z,0.0001421625515486929,0.00021324382732303935,0.0003554063788717322,0.0012281924563818751,0.00156705278587466,,,,,
2025-11-10T09:30:13.478454Z,0.00014881277618917222,0.00022321916428375837,0.0003720319404729306,0.001286463035532239,0.0016416650835219004,,,,,
2025-11-10T09:30:14.478478Z,0.0001571720267818671,0.00023575804017280063,0.00039293006695466777,0.001425091746569189,0.0018400651195214749,,,,,
2025-11-10T09:30:15.478501Z,0.00016569044997042132,0.000248535674955632,0.0004142261249260533,0.0015106803884865664,0.0019531553616613266,,,,,
2025-11-10T09:30:16.478526Z,0.00017564670372970066,0.00026347005559455096,0.00043911675932425167,0.001619088942997946,0.002098731538353552,,,,,
2025-11-10T09:30:17.478550Z,0.00016750108283719803,0.00025125162425579704,0.0004187527070929951,0.0015437863914454478,0.002001055194368562,,,,,
2025-11-10T09:30:18.478573Z,0.00015287567840934987,0.00022931351761402478,0.0003821891960233747,0.0014074236567305502,0.001823825951222701,,,,,
2025-11-10T09:30:19.478597Z,0.00014688536364171575,0.00022032804546257362,0.00036721340910428937,0.0013991796923031638,0.0018274084894882579,,,,,
