timestamp,delta,theta,alpha,beta,gamma,heart_rate_bpm,breathing_rate_bpm,head_pitch,head_roll,head_movement
2025-11-10T08:55:13.266017Z,0.0,0.0,0.0,0.0,0.0,,,-1.682011649067479,6.589911539310863,0.9731554973206715
2025-11-10T08:55:14.272277Z,0.0,0.0,0.0,0.0,0.0,44.651162790697676,,-4.3199380079479575,8.106215982657742,0.9966487904445148
2025-11-10T08:55:15.294516Z,3007.77609806775,75.17194431046643,297.1913943514502,87.11576611504918,76.35985924322554,,,-3.3599572344443636,8.371171546565995,1.0028696289189447
2025-11-10T08:55:16.301636Z,5752.330065987696,325.66424499208324,332.6574117829812,65.00480100532552,100.53563157183238,40.421052631578945,,-3.2519591890042587,8.271459226797422,1.0092388348290169
2025-11-10T08:55:17.358231Z,2808.046084364257,491.7910304958172,288.8656561052231,69.3133882640699,114.65981380334338,33.68421052631579,,-3.4634058662453593,8.296857299471391,1.0042700766223522
2025-11-10T08:55:19.933378Z,3461.5661448675896,641.2562678373049,292.32397633324973,70.49122711130799,114.83716804874655,33.68421052631579,,-3.1780415562758817,8.11023915917303,0.9974574005407703
2025-11-10T08:55:20.958574Z,3873.0792346141484,810.5203469400421,322.8485497970774,73.19925176792216,115.0427842489976,37.64705882352941,,-3.6752888237723513,7.849616038035683,1.0035753932828866
2025-11-10T08:55:21.968700Z,9048.33234238532,1428.5160698080676,1043.9993350391474,182.45134329938904,132.5219046076163,35.22935779816514,,-0.08453488519842185,8.687514926505306,0.9928381023437739
2025-11-10T08:55:22.973904Z,11989.95792524788,1445.0667018281529,949.6815531979297,167.22339243919134,127.38368124293005,35.22935779816514,,-3.4992912410293022,5.8576915126592395,1.0119835522826535
2025-11-10T08:55:23.976635Z,9614.898920835358,1964.4955777284379,539.6810736205694,131.77514503260358,126.58872373015863,33.68421052631579,,-4.423210114516288,4.738893404785858,1.0122026449261736
2025-11-10T08:55:24.974754Z,9500.09767588473,2020.53659618875,699.6771416415037,161.77946335424875,121.99484660298394,36.92307692307692,,-4.066067974047606,4.726864280155442,1.0053928986673928
2025-11-10T08:55:25.999125Z,8565.265969499364,1717.483056181543,442.33093754824694,111.06181197458335,129.6128628715459,33.391304347826086,,-5.5252393342192585,23.70419295676343,1.1670219602012897
2025-11-10T08:55:27.006265Z,9028.950355640838,1678.7124240953399,396.70093859723545,103.98505486646181,124.76997786146943,33.10344827586207,,0.9783853572175365,12.630784471148605,1.004431918589163
